Date,ABEV3.SA,ALPA4.SA,ALSO3.SA,AMAR3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BIDI4.SA,BPAC11.SA,BPAN4.SA,BRAP4.SA,BRDT3.SA,BRFS3.SA,BRKM5.SA,BRML3.SA,BTOW3.SA,CCRO3.SA,CESP6.SA,CIEL3.SA,CMIG4.SA,CNTO3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSMG3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DTEX3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GNDI3.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HGTX3.SA,HYPE3.SA,IGTA3.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,JHSF3.SA,KLBN11.SA,LAME3.SA,LAME4.SA,LCAM3.SA,LIGT3.SA,LINX3.SA,LREN3.SA,MDIA3.SA,MGLU3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NEOE3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,PSSA3.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RAPT4.SA,RENT3.SA,SANB11.SA,SAPR11.SA,SBSP3.SA,SULA11.SA,SUZB3.SA,TAEE11.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VVAR3.SA,WEGE3.SA,YDUQ3.SA
7/10/2020,14.39884567,29.79000092,30.45000076,8.850000381,21.90999985,57.84722137,32.61735916,18.14286995,19.76423264,26.43503761,12.21401882,17.31572723,84.24481964,9.159220695,34.59034729,20.20079041,20.60000038,23.60000038,11.27000046,119.8349991,14.19132042,26.60559654,4.83191061,10.53326416,33.31999969,8.640000343,28.68470001,5.334673405,19.29229164,74.40000153,16.15052986,11.22999954,20.70019913,26.39090347,14.80226898,14.28999996,41.53062057,33.21303177,33.75353241,8.06000042,16.82488441,11.94250011,47.56999969,24.12480545,42.38999939,24.72406578,15.82869244,63.75,7.164245605,20.89999962,12.04317093,15.94804287,31.43446732,36.25774384,8.284761429,9.983884811,26.69895554,22.84000015,8.711900711,20.45000076,30.56456757,34.78489304,17.84002113,17.40780067,26.69000053,44.16788483,40.00740051,19.90815163,15.36644363,13.13236332,20.94052124,22.96115303,19.46647263,42.02999878,70.69999695,22.01997948,21.77740097,36.11999893,50.88591003,29.39124298,22.04215813,22.84000015,10.72525787,43.34575272,28.37896538,30.73569489,58.72000122,42.52916718,36.68000031,26.44437599,24.84304237,18.7130394,18.08910179,7.429999828,52.32675552,17.62000084,54.26974487,35.54999924
7/13/2020,13.57466984,29,29.21999931,9.210000038,21.15999985,57.7893219,32.29252243,17.77915764,19.48903465,26.11079788,11.86868382,16.47641945,83.81077576,9.77636528,35.13369751,19.65578842,20.07999992,23.23999977,10.81000042,116.6060028,13.92706776,26.51454544,4.90079689,10.67043972,32.72999954,8.680000305,28.28761482,5.273851871,18.95801735,73.18000031,16.07822418,11.67000008,21.18950081,24.98803329,14.29317093,13.85000038,42.55583191,32.1507988,32.97089767,8.159999847,16.7299366,11.94999981,46.31000137,23.59176826,40.47000122,24.90871811,15.98599625,61.70000076,7.252330303,20.17000008,11.74244118,15.37494183,31.23015594,35.10670471,8.753030777,9.798456192,26.30632591,22.23999977,8.721130371,20.02000046,29.55761528,33.78570557,17.49504662,17.50499916,25.60000038,42.5368309,39.4361496,19.98760414,14.89989185,12.85547638,20.38715553,22.49015617,19.91091347,39.90000153,68.56999969,21.87637329,21.43879128,38.63999939,52.11610031,29.53002167,21.82890892,22.22999954,10.44755077,41.91217422,27.75331497,30.26465034,56.86000061,41.92237091,36.06000137,26.40724754,24.4466629,18.50759888,17.29751968,7.389999866,52.95133209,17.64999962,54.50786209,33.97999954
7/14/2020,13.48740292,29.79000092,29.69000053,8.850000381,21.75,58.99547958,32.81799316,18.02751732,19.81743813,26.04404259,12.30489731,16.51638794,82.27187347,9.580446243,37.50050354,20.31693649,20.10000038,23.70000076,10.85000038,115.3000031,13.96621704,26.35975647,4.822069645,10.43264294,32.49000168,8.619999886,28.73197174,5.275614738,18.99621964,74.51000214,15.72470856,12.18999958,21.35890007,25.30814934,14.21632481,14.02999973,41.96585464,31.8669281,32.87989426,8.010000229,16.59700775,12.28999996,46.40000153,23.39434814,40.90999985,24.90871811,16.32026672,64.11000061,7.46764946,20.52000046,11.92765808,15.13779545,30.8409977,35.02732086,9.062531471,9.915568352,26.74803734,22.01000023,8.997991562,20.39999962,29.52793884,34.28029251,17.66260719,17.3689003,25.06999969,41.68151474,39.02248001,19.98760414,15.45578384,12.72692108,20.25124168,22.44109344,19.8220253,39.68000031,69.87000275,22.6327095,22.15470695,39.86999893,51.63928223,28.94517136,21.95247269,22.23999977,10.52415943,43.70414734,28.1541214,29.91136551,56.79999924,42.48452759,36.65999985,26.33299255,24.45657349,18.62371826,18.41159821,7.519999981,56.67124176,17.75,53.56533432,34.5
7/15/2020,13.8558588,28.86000061,29.45999908,8.789999962,22.72999954,59.71916962,33.14282608,18.40011597,20.1458416,26.28245354,12.92286873,16.73620605,82.84403229,9.835141182,37.50050354,20.37947655,20.30999947,24.11000061,11.05000019,113.6060028,14.04451466,26.61470222,4.822069645,10.46929359,31.86000061,8.75,29.1196022,5.448383808,18.78610611,77.40000153,16.41495514,11.93000031,21.70000076,25.12926102,14.59094429,14.05000019,41.79175949,32.92000198,34.21765518,8.800000191,16.81538963,12.375,46.72000122,24.08531952,39.95999908,25.62789345,16.27110863,64.27999878,7.497011185,21.95000076,12.07503796,15.01922321,30.90910149,35.42423248,8.906617165,10.02292156,26.93453217,22.14999962,9.699374199,20.95999908,30.08082581,34.92341232,17.78088188,17.83569908,25.12999916,41.35331726,39.37705231,20.23589897,15.27710438,13.17191792,19.84349823,22.32334328,20.03930855,40.54999924,70.31999969,23.16884804,22.58038902,40.13000107,52.00165939,29.53993225,22.39491272,22.63999939,10.5816164,44.54040146,28.74066734,31.87405396,61.38000107,41.89556503,38.84999847,26.2958622,24.77367783,18.82022667,18.84159279,7.510000229,56.75390625,18.45000076,53.92250061,34
7/16/2020,13.62314987,29.14999962,29.30999947,8.56000042,22.04999924,59.34285355,32.86576462,18.09856606,19.79078865,26.12987137,12.40486336,16.876091,84.86629486,9.874324799,36.81900787,19.95955849,20.14999962,24.23999977,11.01000023,110.2369995,14.07387543,26.66022873,4.743341923,10.28642273,31.5,9.18999958,28.59015656,5.385798931,18.56644249,77.73000336,15.70250034,11.68999958,22.20000076,24.62083817,14.58133984,13.64999962,41.77241516,32.35225677,33.20750809,8.260000229,16.672966,12.66499996,46.31999969,24.06557655,40.47000122,25.0836544,15.96633244,63.02999878,7.389351845,21.03000069,12.12283421,15.21684456,31.57067299,35.08685684,8.721467018,9.905809402,26.48300743,21.42000008,9.293310165,20.68000031,29.34037781,34.34960175,17.65275192,17.71899986,25.20000076,41.31353378,38.78610229,19.90815163,14.98923206,13.29058456,20.09591103,22.10746956,20.28622055,40.43999863,69.56999969,22.62313461,21.98056412,39.66999817,51.98258591,28.85595703,22.3211689,22.64999962,10.39966965,44.3910675,28.59403229,31.01047134,60,41.56537247,38.72999954,26.10094261,24.91240883,18.82022667,18.9002285,7.389999866,55.22001266,19,54.1209259,34
7/17/2020,13.72980785,29,30.48999977,8.989999771,21.79999924,61.64902496,33.87848663,18.44452095,19.88841248,26.2729187,12.92286873,17.07592583,87.82572174,9.766569138,37.56497192,21.21931648,20.68000031,25.07999992,11.32999992,115.0910034,14.43599892,27.35223198,5.176344395,10.35953236,32.09999847,9.350000381,28.97778702,5.612337589,19.31138992,81.73000336,15.94463539,11.89999962,21.79999924,25.99546432,14.58133984,13.93999958,42.55583191,36.9949379,37.13890076,8.380000114,17.16670036,12.55000019,47.91999817,24.4900322,39.84999847,25.17111969,16.03515244,67.41999817,7.438287735,20.79999924,12.70836353,15.31565475,32.78680038,35.35477066,8.770191193,10.02292156,26.71858597,22.29000092,9.136422157,20.94000053,30.1301899,35.02236938,18.7468071,18.11770058,25.85000038,42.01966095,39.68237686,20.36004448,15.42600346,14.44757748,20.16386795,22.34296989,21.18497658,42,71.09999847,22.64228249,21.99991417,39.15999985,51.81093597,30.39242744,22.43676186,23.46999931,10.84017181,45.74499512,29.14147186,31.35394287,63.88000107,43.74266434,39.84999847,26.21232414,25.47724724,18.67731094,19.05658913,7.489999771,56.06503296,19.71999931,57.63308716,34.29999924
7/20/2020,13.69102383,29.47999954,30.71999931,8.890000343,21.59000015,65.03590393,33.7447319,18.6752243,20.07477379,26.99768829,13.03192329,17.28575325,91.2487793,9.717589378,38.01622391,21.00488853,21.25,25.11000061,11.5,119.2369995,14.68067646,27.64359856,5.156661987,10.64292908,33.20000076,9.600000381,29.44105339,5.529479027,19.41644669,84.75,15.97519207,11.86999989,21.62000084,26.39090347,15.18649387,14.35000038,43.02974701,36.62865448,36.7657814,8.319999695,17.37558746,12.81750011,47.72000122,24.29999924,40.33000183,24.79209518,16.03515244,69.11000061,7.516585827,20.62000084,13.10070801,15.29589272,33.3218956,35.92036819,8.692234039,10.16931534,26.79711342,22.65999985,9.357912064,21.27000046,30.8706398,34.95306015,19.14105988,18.2343998,26.55999947,42.51693726,39.5641861,21.601511,16.04145622,14.93213081,20.62014961,22.75509262,21.82694435,43.43999863,72,22.49867439,21.99991417,40.11999893,52.29728699,31.57204437,23.10241127,23.92000008,11.13703156,46.00383759,29.18057823,31.15767288,62.61000061,45.85758972,40.24000168,26.28657913,26.15109444,19.0256691,19.30090523,7.460000038,55.84458923,21.17000008,59.68680191,35.29000092
7/21/2020,14.23400974,29.35000038,31.25,8.869999886,21.79999924,63.81045151,33.90715027,18.98566055,20.61618805,26.90232277,13.05918598,17.74537468,88.09207153,9.756772995,37.52813339,21.32652855,20.88999939,24.61000061,11.48999977,118.8280029,14.58280468,27.47059822,5.245230675,10.5241251,32.88000107,9.399999619,29.44105339,5.433398724,19.9608326,83.62999725,15.85278988,11.65999985,22.64999962,25.83540344,15.01359177,14.03999996,42.47845459,35.49316025,35.79203796,8.5,17.0432682,12.68000031,47.16999817,24.04000092,39.93999863,24.53941345,15.87784958,68.26999664,7.408926487,20.65999985,13.04494381,15.19708252,32.8354454,36.47603989,8.302447319,10.26690674,27.2682724,22.27000046,8.868789673,20.98999977,31.11745453,35.25974655,19.3283329,18.57480049,28.12000084,42.06938934,39.83011627,20.93111992,16.02160263,15.1101284,20.05707741,22.59809303,21.38250351,43.36999893,76.98999786,22.96779633,22.60941315,41.15000153,52.38311386,29.54984665,23.34156609,23.52000046,11.20406437,46.68080521,30.00173759,30.79457474,62.15000153,45.51852036,40.5,26.23088837,26.03217888,19.11499214,19.34976768,7.389999866,54.83424759,20.62000084,59.4090004,35
7/22/2020,14.26309872,29.12999916,29.64999962,8.68999958,21.68000031,64.36045074,33.63008499,18.75505447,20.26113701,27.01676178,12.96830845,18.24496269,87.99342346,9.77636528,38.12674332,21.11210251,20.57999992,24.21999931,10.93000031,125.1269989,14.45557213,27.59807205,5.432209015,11.33785534,32.15000153,9.390000343,29.97995377,5.516256809,19.91308022,84.01999664,15.94738865,11.81000042,21.89999962,25.74125099,14.98477554,13.94999981,42.9523735,35.81366348,36.11964798,8.31000042,17.19518471,12.875,48.41999817,24.29999924,40.79999924,24.24785614,16.45790672,69.65000153,7.800414562,20,12.96528053,15.22672558,32.67977905,34.97770691,7.961384773,10.26690674,26.57134819,22.05999947,8.758045197,21.12999916,32.03557205,36.20955658,19.02278519,19.09020042,27.5,42.44731903,40.15513992,21.01802254,15.64439011,15.1892395,19.89203835,21.75422096,21.570158,43.47999954,75.87000275,22.72844887,22.29982567,40.61999893,52.66920471,27.85477066,23.50698471,23.21999931,11.26152134,46.18303299,28.90685463,30.62774658,63.22000122,45.67017365,39.5,26.30514336,26.06190872,19.20431137,19.28135872,7.510000229,54.41173935,21.29000092,67.66355896,34.59000015
7/23/2020,13.96251583,29.07999992,28.90999985,8.140000343,20.95000076,63.22184753,32.81799316,18.52435493,19.96826744,26.57808495,12.72293758,17.98517799,86.79130554,9.600038528,37.73073959,20.69218254,20.39999962,24.03000069,10.42000008,119.5960007,14.2891922,27.78928375,5.13697958,11.10015202,30.89999962,8.75,29.86650276,5.588537693,19.57880783,82.95999908,15.44642353,11.64999962,21.10000038,24.81855774,14.8791132,13.60000038,42.36239243,35.21844864,35.7101326,8.220000267,17.0432682,13.04249954,48.54000092,24.20999908,39.49000168,23.60643005,16.11380577,67.20999908,7.506798744,19.10000038,12.8079443,14.60421848,32.82572174,33.97550964,7.649555683,10.12051773,26.01185417,22.36000061,8.536557198,21.36000061,30.65340042,35.37853622,17.99772263,18.47750092,27.05999947,40.84609604,38.73685837,19.96277618,15.81314278,14.99146271,19.33867264,21.40097237,21.38250351,42.79999924,74.20999908,22.46721268,21.83588409,39.5,52.00165939,28.27110481,22.79948044,22.75,11.03169537,45.67531204,28.31053543,29.98987389,61.20000076,44.87595749,40.74000168,26.14735031,25.99254036,18.97207642,18.71454811,7.309999943,54.05352402,19.79999924,66.45316315,34.04999924
